,implementation,problem.target_path,problem.mutant_op,problem.occurrence,id,equivalent,comment,run_comment
269,loop,manipulation.py,core/ReplaceComparisonOperator_Eq_LtE,1,string_utils_manipulation.py_core/ReplaceComparisonOperator_Eq_LtE_1_7f15c70,yes,"Mutant changes a comparison from ""value <="" 4 to ""value == 4"", but there is a check for ""value <= 3"" right before it.",
175,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_FloorDiv,8,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_FloorDiv_8_6f1ebc1c,yes,"Mutant disables ""re.MULTILINE"" and ""re.DOTALL"" for a regex that doesn’t use ""."", ""^"" or ""$"".",
125,loop,manipulation.py,core/NumberReplacer,73,string_utils_manipulation.py_core/NumberReplacer_73_ded15b3d,yes,"Mutant changes a regex match to use group 0 instead of group 1, but the whole regex is wrapped in parentheses, so group 0 will produce the same text as group 1.",
85,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_BitXor,7,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_BitXor_7_768bf98d,yes,"Mutant changes regex flags to be XOR'd instead of OR'd, which does the same thing.",
96,loop,manipulation.py,core/NumberReplacer,67,string_utils_manipulation.py_core/NumberReplacer_67_cea6e763,yes,"Mutant changes a regex match to use group 0 instead of group 1, but the whole regex is wrapped in parentheses, so group 0 will produce the same text as group 1.",
102,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Mod,12,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mod_12_a7d39752,yes,"Mutant effectively removes a ""re.UNICODE"" flag for a regex, but ""re.UNICODE"" is on by default in python.",
54,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_RShift,0,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_RShift_0_17838217,no,"Mutant disables ""re.MULTILINE"" and ""re.DOTALL"" for a regex, which breaks multi-line matching.",LLM assumed the regex would fail to compile. It did not test the regex with multiline strings.
252,loop,manipulation.py,core/ReplaceBinaryOperator_Add_BitXor,10,string_utils_manipulation.py_core/ReplaceBinaryOperator_Add_BitXor_10_8359992,no,Mutant causes a type error when the mutated line is executed.,LLM failed to cover the mutant line.
127,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_BitXor,6,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_BitXor_6_2536e540,yes,"Mutant changes regex flags to be XOR'd instead of OR'd, which does the same thing.",
325,loop,manipulation.py,core/NumberReplacer,54,string_utils_manipulation.py_core/NumberReplacer_54_a4475add,no,"Mutant is not killable through the public API, but easy to kill by using the private ""__StringCompressor"" directly.",LLM only used the public API.
333,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Mod,13,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mod_13_c348344,yes,"Mutant effectively removes a ""re.UNICODE"" flag for a regex, but ""re.UNICODE"" is on by default in python.",
180,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_BitAnd,6,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_BitAnd_6_a7cab650,yes,"Mutant disables ""re.MULTILINE"" and ""re.DOTALL"" for a regex that doesn’t use ""."", ""^"" or ""$"".",
225,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_BitAnd,2,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_BitAnd_2_df29b2b8,yes,"Mutant effectively removes a ""re.MULTILINE"" and a ""re.UNICODE"" flag for a regex, but the regex is not affected by the MULTILINE flag and UNICODE is on by default.",
221,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_LShift,5,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_LShift_5_9d1814f9,no,"Mutant disables a ""re.IGNORECASE"" flag for a regex.",LLM didn't try uppercase tags. It assumed that the regex would fail on complex nested tags.
218,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Mul,11,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mul_11_ade5c7cd,no,"Mutant turns a ""re.MULTILINE | re.DOTALL"" into ""re.MULTILINE * re.DOTALL"", which is equivalent to ""re.DEBUG"". This causes the regex internals to be printed when the regex is compiled.","LLM didn't capture the output of the regex compilation, but that's a tough ask. Apart from that, the mutant is equivalent."
20,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Mod,2,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mod_2_e3bd7747,yes,"Mutant effectively removes a ""re.UNICODE"" flag for a regex, but ""re.UNICODE"" is on by default in python.",
279,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Mod,11,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mod_11_8eca939,yes,"Mutant effectively removes a ""re.DOTALL"" flag for a regex, but the regex doesn't contain a ""."".",
59,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_LShift,11,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_LShift_11_eaddddb,yes,"Mutant disables ""re.MULTILINE"" and ""re.DOTALL"" for a regex that doesn’t use ""."", ""^"" or ""$"".",
64,loop,manipulation.py,core/ReplaceBinaryOperator_Add_Mod,10,string_utils_manipulation.py_core/ReplaceBinaryOperator_Add_Mod_10_365aa897,no,Mutant causes a type error when the mutated line is executed.,LLM failed to cover the mutant line.
83,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Add,4,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Add_4_ab76b265,yes,"Mutant changes regex flags to be added instead of OR'd, which does the same thing.",
