,project,target_path,mutant_op,occurrence,claim1,claim2,claim3,equivalent,fully_equivalent,unsure,test_available,non_trivial_change,non_trivial_kill_method,comment
1147,apimd,__main__.py,core/ReplaceComparisonOperator_Eq_Is,0,,,,0,0,0,1,"Turns ""=="" comparison to ""is"" with a string literal.",SyntaxWarning when no __pycache__ is present.,"Mutant raises a SyntaxWarning on import, but only if no __pycache__ is present."
905,apimd,__main__.py,core/ReplaceComparisonOperator_Eq_LtE,2,e49eee1c,e0e874a9,,0,0,0,1,,,"Mutant changes ""__name__  == '__main__'"" to ""__name__ <= '__main__'""."
1328,apimd,compiler.py,core/AddNot,2,,,,1,0,1,1,(Mutant is not reachable.),Constructing object without a __class__ attribute.,"Detecting the mutant requires creating an object that pretends it doesn't have the ""__class__"" attribute."
1539,apimd,compiler.py,core/AddNot,49,7e62fc6a,,,0,0,0,1,,,
1057,apimd,compiler.py,core/NumberReplacer,42,,,,0,0,0,1,,,
757,apimd,compiler.py,core/NumberReplacer,45,,,,0,0,0,1,,,Mutant adds an iteration to the failure case of a loop that retries imports to find the right order. The mutant can be detected by counting log messages.
1040,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_Is,0,e799afb2,48282757,,0,0,0,1,"Turns ""=="" comparison to ""is"" with a string literal.",SyntaxWarning when no __pycache__ is present.,"Mutant raises a SyntaxWarning on import, but only if no __pycache__ is present."
746,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_Is,2,0323ddd7,d0b5d85b,,0,0,0,1,"Turns ""=="" comparison to ""is"" with a string literal.",SyntaxWarning when no __pycache__ is present.,"Mutant raises a SyntaxWarning on import, but only if no __pycache__ is present."
1116,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_Is,5,88f00e78,834cb9df,,1,0,0,1,"Turns ""=="" comparison to ""is"" with integers.",Replacing builtin enumerate.,"Replaces ""=="" with ""is"" in an int comparison. Both of the operands are derived from the input string by the target function."
1618,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_Lt,0,a5eca73e,,,1,0,1,1,(Mutant is not reachable.),Constructing object without a __class__ attribute.,"Detecting the mutant requires creating an object that pretends it doesn't have the ""__class__"" attribute."
981,apimd,compiler.py,core/ReplaceComparisonOperator_Eq_NotEq,0,,,,1,0,1,1,(Mutant is not reachable.),Constructing object without a __class__ attribute.,"Detecting the mutant requires creating an object that pretends it doesn't have the ""__class__"" attribute."
1340,apimd,compiler.py,core/ReplaceComparisonOperator_Is_Eq,1,0a07d6c9,5da8c77a,,0,0,1,1,"Turns ""is"" comparison to ""=="" with builtin type staticmethod.",Creating a metaclass that with strange __eq__ semantics.,"Mutant replaces ""type(parent.__dict__[name]) is staticmethod"" with ""type(parent.__dict__[name]) == staticmethod"". Killing the mutant requires defining a metaclass with illegal __eq__ logic."
