,implementation,problem.target_path,problem.mutant_op,problem.occurrence,mutant_killed,id,
163,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,8,False,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_8_5352ba8,"Mutant fails on import. LLM misunderstands the experiment format and overcomplicates the experiments. It detects the mutant anyways, then doesn't translate the experiment into a test correctly and confuses itself."
414,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,8,True,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_8_e548cd1,"Mutant fails on import. LLM first fails to import correctly, then fixes the imports but also recreates the mutant. After a while it removes the recreated mutant, then has to fix an assertion, but arrives at a correct test."
340,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Sub,6,False,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Sub_6_aa61736a,"Mutant fails on import. LLM first runs into an error when importing the mutant, doesn't realize that this kills the mutant, then recreates a (wrong) version of the mutant that doesn't fail to compile and tests its version of the mutant instead of the real mutant."
653,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Sub,6,True,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Sub_6_5b476378,"Mutant fails on import. LLM first fails to import correctly, then instantly finds a killing test."
322,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Sub,10,False,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Sub_10_f8aaf0d0,"Mutant fails on import. LLM interprets this as the experiment failing, then does a couple of experiments without importing the mutant. Then adds the mutant again and iterprets the output as the experiment failing again. Then writes ""As a result, we cannot test the mutant implementation directly due to the failure to import it successfully."" and tries to write a test, which fails because of a wrong assertion."
606,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Sub,10,True,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Sub_10_8ff27c7,"Mutant fails on import. LLM tries a test, has to fix an assertion, then succeeds."
206,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Sub,12,False,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Sub_12_1a1d8ae,"Mutant fails on import. LLM correctly identifies the mutant, but then recreates the mutant and fails to create a killing test, since it's testing the recreated mutant."
451,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Sub,12,True,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Sub_12_91732a75,"Mutant fails on import. LLM fails a couple test attempts due to a wrong assertion, then changes the assertion and succeeds."
124,loop,generation.py,core/ReplaceOrWithAnd,4,False,string_utils_generation.py_core/ReplaceOrWithAnd_4_f1c62fe8,"LLM tries two inputs that don't detect the mutant, then calls it equivalent."
624,baseline,generation.py,core/ReplaceOrWithAnd,4,True,baseline_string_utils_generation.py_core/ReplaceOrWithAnd_4_9a41feda,"LLM fails to write a killing test for a while, keeps adjusting the test slightly, then gets a killing test on the 12th try."
