,implementation,problem.target_path,problem.mutant_op,problem.occurrence,mutant_killed,id,
294,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Div,7,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Div_7_52c1417,"Mutant fails on import. LLM acknowledges this, then generates a test with an error, then fixes it first try."
585,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Div,7,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Div_7_99fa759a,"Mutant fails on import. LLM fails to import the mutant, only trying a wrong path. Then recreates the mutant instead."
32,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Div,9,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Div_9_b9e8df8a,"Mutant fails on import. LLM acknowledges this, then generates a test that is wrong but accidentally works."
551,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Div,9,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Div_9_1adaa27a,Mutant fails on import. LLM only generates tests that fail on the correct version too.
264,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Div,12,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Div_12_fa2618a7,"Mutant fails on import. LLM takes a couple of experiments to realize the imported ""PRETTIFY_RE"" is a dict of regexes and not the regex, but it makes its way there."
649,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Div,12,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Div_12_4ba5b784,"Mutant fails on import. LLM fails to import the mutant, only trying a wrong path. Then recreates the mutant instead."
161,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_FloorDiv,3,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_FloorDiv_3_cd2d76f,"LLM first hypothesizes that the mutant will fail on import, the hypothesizes about parsing different HTML tags, trying different outputs each time. Very nice!"
602,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_FloorDiv,3,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_FloorDiv_3_e772d1c7,"LLM fails to construct an error-free test case, trying more inputs and more complex inputs with each attempt (which is not helping)."
181,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_FloorDiv,4,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_FloorDiv_4_754ead71,"LLM first hypothesizes that the mutant will fail on import, then hypothesizes about parsing multiline HTML tags, which is the right idea. It takes a couple of experiments to get there, because it omits the imports in two of them. Then takes some attempts to convert the experiment into a test. The LLM actually interleaves experiments and tests here."
611,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_FloorDiv,4,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_FloorDiv_4_c24b7513,"LLM doesn't find the inputs, trying more or less the same ones (with minor changes) each attempt."
170,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Mod,0,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mod_0_8dfee91,"LLM first hypothesizes that the mutant will fail on import, then tries a complex JSON input and creates the test."
454,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Mod,0,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mod_0_88b3c335,"LLM fails to construct an error-free test case, trying more inputs and more complex inputs with each attempt (which is not helping, again)."
146,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Mod,6,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mod_6_62b5ffa7,
428,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Mod,6,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Mod_6_5ec5c3bb,
249,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,6,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_6_fc7fa624,
651,baseline,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,6,False,baseline_string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_6_13feffad,
162,loop,_regex.py,core/ReplaceBinaryOperator_BitOr_Pow,9,True,string_utils__regex.py_core/ReplaceBinaryOperator_BitOr_Pow_9_f14342b,
